symbol,security_type,sector,leader_tier,country_status,note
PLD,STK,房地产,1,美国,物流地产核心龙头
AMT,STK,房地产,1,美国,通信塔核心龙头
EQIX,STK,房地产,1,美国,数据中心核心龙头
WELL,STK,房地产,2,美国,医疗地产优质二线
SPG,STK,房地产,2,美国,商业地产优质二线
SPY,ETF,宽基ETF,1,明确非中国,美国大盘核心ETF
QQQ,ETF,宽基ETF,1,明确非中国,纳斯达克100核心ETF
DIA,ETF,宽基ETF,2,明确非中国,道指ETF
IWM,ETF,宽基ETF,2,明确非中国,美国小盘ETF
XLK,ETF,信息技术,1,明确非中国,美国科技板块ETF
XLC,ETF,通信服务,1,明确非中国,美国通信板块ETF
XLY,ETF,可选消费,1,明确非中国,美国可选消费板块ETF
XLP,ETF,日常消费,1,明确非中国,美国日常消费板块ETF
XLV,ETF,医疗保健,1,明确非中国,美国医疗板块ETF
XLF,ETF,金融,1,明确非中国,美国金融板块ETF
XLE,ETF,能源,1,明确非中国,美国能源板块ETF
XLI,ETF,工业,1,明确非中国,美国工业板块ETF
XLU,ETF,公用事业,1,明确非中国,美国公用事业板块ETF
XLB,ETF,原材料,1,明确非中国,美国原材料板块ETF
XLRE,ETF,房地产,1,明确非中国,美国房地产板块ETF
